menu_item_id,name,sale_price,in_stock,size_options,photo,category_id
1,Classic Milk Tea,4.79,1,"M,L",menu_1.jpg,1
2,Taro Milk Tea,5.44,1,"M,L",menu_2.jpg,1
3,Matcha Pearl Milk Tea,3.85,1,"S,M,L",menu_3.jpg,5
4,Matcha Fresh Milk,5.74,1,"S,M,L",menu_4.jpg,5
5,Matcha Ice Blended,5.12,1,"S,M,L",menu_5.jpg,5
6,Strawberry Matcha Fresh Milk,3.76,1,"S,M,L",menu_6.jpg,5
7,Brown Sugar Boba,6.29,1,"M,L",menu_7.jpg,1
8,Thai Tea,4.03,1,"S,M,L",menu_8.jpg,1
9,Honeydew Milk Tea,5.07,1,"S,M,L",menu_9.jpg,1
10,Rose Milk Tea,4.91,1,"M,L",menu_10.jpg,1
11,Oolong Tea,3.96,1,"S,M,L",menu_11.jpg,2
12,Wintermelon Milk Tea,6.32,1,"S,M,L",menu_12.jpg,1
13,Strawberry Smoothie,5.73,1,"M,L",menu_13.jpg,6
14,Mango Slush,4.02,1,"S,M,L",menu_14.jpg,6
15,Chocolate Milk Tea,6.31,1,"M,L",menu_15.jpg,1
16,Vanilla Milk Tea,5.82,1,"M,L",menu_16.jpg,1
17,Coffee Milk Tea,4.25,1,"M,L",menu_17.jpg,1
18,Lychee Jasmine,4.58,1,"M,L",menu_18.jpg,3
19,Pineapple Green Tea,6.9,1,"M,L",menu_19.jpg,3
20,Caramel Milk Tea,5.08,1,"M,L",menu_20.jpg,1
21,Hazelnut Latte,6.97,1,"M,L",menu_21.jpg,1
22,Passion Fruit Tea,5.16,1,"S,M,L",menu_22.jpg,3
23,Peach Oolong,4.73,1,"S,M,L",menu_23.jpg,3
24,Oreo w/ Pearl,7.0,1,"S,M,L",menu_24.jpg,6
25,Taro w/ Pudding,6.66,1,"S,M,L",menu_25.jpg,6
26,Thai Tea w/ Pearl,4.12,1,"S,M,L",menu_26.jpg,6
27,Coffee w/ Pearl,5.75,1,"S,M,L",menu_27.jpg,6
28,Gingerbread Shake,3.95,1,"S,M,L",menu_28.jpg,4
29,Eggnog,4.42,1,"M,L",menu_29.jpg,4
30,Peppermint Mocha,6.85,1,"S,M,L",menu_30.jpg,4
31,Classic Tea,5.19,1,"S,M,L",menu_31.jpg,2
32,Honey Tea,4.68,1,"S,M,L",menu_32.jpg,2
